strike;date_expiration;bid;ask;volume;open_interest;date_obs;;;;;;;;;;;;;;;
100;28/03/2025;97.10;98.85;3;19;23/03/2025;;;;;;;;;;;;;;;
110;28/03/2025;87.95;88.85;-;1;23/03/2025;;;;;;;;;;;;;;;
120;28/03/2025;78.00;78.85;36;3;23/03/2025;;;;;;;;;;;;;;;
130;28/03/2025;72.30;73.90;10;6;23/03/2025;;;;;;;;;;;;;;;
140;28/03/2025;67.95;68.90;6;70;23/03/2025;;;;;;;;;;;;;;;
145;28/03/2025;65.50;66.40;-;6;23/03/2025;;;;;;;;;;;;;;;
150;28/03/2025;62.85;63.90;8;15;23/03/2025;;;;;;;;;;;;;;;
155;28/03/2025;60.50;61.40;32;5;23/03/2025;;;;;;;;;;;;;;;
160;28/03/2025;57.85;58.90;3;86;23/03/2025;;;;;;;;;;;;;;;
165;28/03/2025;55.50;56.35;8;13;23/03/2025;;;;;;;;;;;;;;;
170;28/03/2025;53.00;53.90;4;15;23/03/2025;;;;;;;;;;;;;;;
175;28/03/2025;50.50;51.35;8;22;23/03/2025;;;;;;;;;;;;;;;
180;28/03/2025;47.95;48.90;45;19;23/03/2025;;;;;;;;;;;;;;;
185;28/03/2025;45.35;46.40;4;21;23/03/2025;;;;;;;;;;;;;;;
190;28/03/2025;42.90;43.90;11;15;23/03/2025;;;;;;;;;;;;;;;
195;28/03/2025;40.55;41.45;4;15;23/03/2025;;;;;;;;;;;;;;;
200;28/03/2025;38.05;38.95;26;69;23/03/2025;;;;;;;;;;;;;;;
205;28/03/2025;35.50;36.45;4;10;23/03/2025;;;;;;;;;;;;;;;
210;28/03/2025;32.40;33.95;66;30;23/03/2025;;;;;;;;;;;;;;;
215;28/03/2025;30.55;31.40;5;39;23/03/2025;;;;;;;;;;;;;;;
220;28/03/2025;28.05;29.00;83;110;23/03/2025;;;;;;;;;;;;;;;
225;28/03/2025;24.90;26.50;4;128;23/03/2025;;;;;;;;;;;;;;;
230;28/03/2025;23.00;24.00;73;163;23/03/2025;;;;;;;;;;;;;;;
235;28/03/2025;20.60;21.55;32;134;23/03/2025;;;;;;;;;;;;;;;
240;28/03/2025;18.10;19.10;1,336;446;23/03/2025;;;;;;;;;;;;;;;
245;28/03/2025;15.80;16.65;202;208;23/03/2025;;;;;;;;;;;;;;;
250;28/03/2025;13.65;14.10;617;1,249;23/03/2025;;;;;;;;;;;;;;;
255;28/03/2025;11.15;11.70;418;960;23/03/2025;;;;;;;;;;;;;;;
260;28/03/2025;9.05;10.80;2,729;2,108;23/03/2025;;;;;;;;;;;;;;;
265;28/03/2025;7.10;7.30;7,014;2,877;23/03/2025;;;;;;;;;;;;;;;
270;28/03/2025;5.20;5.45;21,772;7,529;23/03/2025;;;;;;;;;;;;;;;
275;28/03/2025;3.65;3.80;13,729;7,439;23/03/2025;;;;;;;;;;;;;;;
280;28/03/2025;2.38;2.47;24,441;21,544;23/03/2025;;;;;;;;;;;;;;;
285;28/03/2025;1.41;1.51;12,833;8,428;23/03/2025;;;;;;;;;;;;;;;
290;28/03/2025;0.75;0.83;16,878;20,177;23/03/2025;;;;;;;;;;;;;;;
295;28/03/2025;0.38;0.42;3,711;5,225;23/03/2025;;;;;;;;;;;;;;;
300;28/03/2025;0.19;0.21;6,217;6,847;23/03/2025;;;;;;;;;;;;;;;
305;28/03/2025;0.10;0.12;2,29;4,001;23/03/2025;;;;;;;;;;;;;;;
310;28/03/2025;0.05;0.07;2,865;5,559;23/03/2025;;;;;;;;;;;;;;;
315;28/03/2025;0.03;0.04;929;1,776;23/03/2025;;;;;;;;;;;;;;;
320;28/03/2025;0.02;0.03;910;4,709;23/03/2025;;;;;;;;;;;;;;;
325;28/03/2025;0.02;0.03;549;1,33;23/03/2025;;;;;;;;;;;;;;;
330;28/03/2025;0.01;0.03;777;4,961;23/03/2025;;;;;;;;;;;;;;;
247.5;28/03/2025;0.01;0.02;368;1,58;23/03/2025;;;;;;;;;;;;;;;
250;28/03/2025;0.01;0.02;412;7,342;23/03/2025;;;;;;;;;;;;;;;
252.5;28/03/2025;0.01;0.02;1;361;23/03/2025;;;;;;;;;;;;;;;
255;28/03/2025;0.01;0.02;63;6,503;23/03/2025;;;;;;;;;;;;;;;
257.5;28/03/2025;0.00;0.01;4;373;23/03/2025;;;;;;;;;;;;;;;
260;28/03/2025;0.00;0.01;53;15,156;23/03/2025;;;;;;;;;;;;;;;
262.5;28/03/2025;0.00;0.01;1;53;23/03/2025;;;;;;;;;;;;;;;
265;28/03/2025;0.00;0.01;19;5,318;23/03/2025;;;;;;;;;;;;;;;
270;28/03/2025;0.00;0.01;4;2,41;23/03/2025;;;;;;;;;;;;;;;
275;28/03/2025;0.00;0.01;1;650;23/03/2025;;;;;;;;;;;;;;;
280;28/03/2025;0.00;0.01;4;1,202;23/03/2025;;;;;;;;;;;;;;;
285;28/03/2025;0.00;0.01;1;300;23/03/2025;;;;;;;;;;;;;;;
290;28/03/2025;0.00;0.01;3;340;23/03/2025;;;;;;;;;;;;;;;
295;28/03/2025;0.00;0.01;1;79;23/03/2025;;;;;;;;;;;;;;;
300;28/03/2025;0.00;0.01;1;91;23/03/2025;;;;;;;;;;;;;;;
305;28/03/2025;0.00;0.01;22;42;23/03/2025;;;;;;;;;;;;;;;
310;28/03/2025;0.00;0.01;5;701;23/03/2025;;;;;;;;;;;;;;;
315;28/03/2025;0.00;0.01;1;248;23/03/2025;;;;;;;;;;;;;;;
320;28/03/2025;0.00;0.01;3;6;23/03/2025;;;;;;;;;;;;;;;
325;28/03/2025;0.00;0.01;100;213;23/03/2025;;;;;;;;;;;;;;;
330;28/03/2025;0.00;0.01;2;221;23/03/2025;;;;;;;;;;;;;;;
100;04/04/2025;118.05;118.95;1;2;23/03/2025;;;;;;;;;;;;;;;
110;04/04/2025;108.05;109.00;2;32;23/03/2025;;;;;;;;;;;;;;;
120;04/04/2025;98.00;99.00;1;13;23/03/2025;;;;;;;;;;;;;;;
130;04/04/2025;88.05;89.05;4;8;23/03/2025;;;;;;;;;;;;;;;
140;04/04/2025;77.90;79.05;1;9;23/03/2025;;;;;;;;;;;;;;;
145;04/04/2025;72.35;74.05;1;22;23/03/2025;;;;;;;;;;;;;;;
150;04/04/2025;68.15;69.10;4;608;23/03/2025;;;;;;;;;;;;;;;
155;04/04/2025;63.10;64.10;659;424;23/03/2025;;;;;;;;;;;;;;;
160;04/04/2025;57.50;59.10;4;17;23/03/2025;;;;;;;;;;;;;;;
165;04/04/2025;53.15;54.15;8;32;23/03/2025;;;;;;;;;;;;;;;
170;04/04/2025;48.20;49.15;24;36;23/03/2025;;;;;;;;;;;;;;;
175;04/04/2025;43.50;44.15;1;33;23/03/2025;;;;;;;;;;;;;;;
180;04/04/2025;37.60;39.25;2;157;23/03/2025;;;;;;;;;;;;;;;
185;04/04/2025;33.55;34.25;16;83;23/03/2025;;;;;;;;;;;;;;;
190;04/04/2025;28.35;29.35;9;132;23/03/2025;;;;;;;;;;;;;;;
195;04/04/2025;23.45;24.50;15;312;23/03/2025;;;;;;;;;;;;;;;
200;04/04/2025;18.80;19.55;184;380;23/03/2025;;;;;;;;;;;;;;;
205;04/04/2025;14.50;15.95;176;209;23/03/2025;;;;;;;;;;;;;;;
210;04/04/2025;10.10;10.60;293;786;23/03/2025;;;;;;;;;;;;;;;
215;04/04/2025;6.65;6.95;2,664;2,911;23/03/2025;;;;;;;;;;;;;;;
220;04/04/2025;3.80;4.00;3,168;4,247;23/03/2025;;;;;;;;;;;;;;;
225;04/04/2025;1.84;2.00;4,096;5,04;23/03/2025;;;;;;;;;;;;;;;
230;04/04/2025;0.82;0.87;2,665;4,132;23/03/2025;;;;;;;;;;;;;;;
235;04/04/2025;0.32;0.35;830;3,594;23/03/2025;;;;;;;;;;;;;;;
240;04/04/2025;0.13;0.16;706;6,414;23/03/2025;;;;;;;;;;;;;;;
245;04/04/2025;0.06;0.21;49;2,774;23/03/2025;;;;;;;;;;;;;;;
250;04/04/2025;0.03;0.05;118;3,163;23/03/2025;;;;;;;;;;;;;;;
255;04/04/2025;0.02;0.04;37;1,825;23/03/2025;;;;;;;;;;;;;;;
260;04/04/2025;0.01;0.03;15;3,083;23/03/2025;;;;;;;;;;;;;;;
265;04/04/2025;0.01;0.03;15;1,391;23/03/2025;;;;;;;;;;;;;;;
270;04/04/2025;0.00;0.03;17;5,824;23/03/2025;;;;;;;;;;;;;;;
275;04/04/2025;0.01;0.03;45;973;23/03/2025;;;;;;;;;;;;;;;
280;04/04/2025;0.00;0.01;6;242;23/03/2025;;;;;;;;;;;;;;;
285;04/04/2025;0.00;0.02;2;213;23/03/2025;;;;;;;;;;;;;;;
290;04/04/2025;0.00;0.02;2;787;23/03/2025;;;;;;;;;;;;;;;
295;04/04/2025;0.00;0.02;1;142;23/03/2025;;;;;;;;;;;;;;;
300;04/04/2025;0.00;0.01;16;92;23/03/2025;;;;;;;;;;;;;;;
305;04/04/2025;0.00;0.01;2;23;23/03/2025;;;;;;;;;;;;;;;
310;04/04/2025;0.00;0.01;4;5;23/03/2025;;;;;;;;;;;;;;;
315;04/04/2025;0.00;0.01;1;17;23/03/2025;;;;;;;;;;;;;;;
320;04/04/2025;0.00;0.01;1;1;23/03/2025;;;;;;;;;;;;;;;
325;04/04/2025;0.00;0.01;1;11;23/03/2025;;;;;;;;;;;;;;;
330;04/04/2025;0.00;0.01;6;7;23/03/2025;;;;;;;;;;;;;;;
100;25/04/2025;117.85;120.20;5;12;23/03/2025;;;;;;;;;;;;;;;
120;25/04/2025;97.80;100.15;1;24;23/03/2025;;;;;;;;;;;;;;;
130;25/04/2025;87.90;90.10;42;42;23/03/2025;;;;;;;;;;;;;;;
140;25/04/2025;77.85;80.40;5;2;23/03/2025;;;;;;;;;;;;;;;
160;25/04/2025;58.85;60.10;1;2;23/03/2025;;;;;;;;;;;;;;;
165;25/04/2025;52.90;55.95;1;8,528;23/03/2025;;;;;;;;;;;;;;;
170;25/04/2025;48.95;50.25;1;7;23/03/2025;;;;;;;;;;;;;;;
175;25/04/2025;43.90;46.05;1;19;23/03/2025;;;;;;;;;;;;;;;
180;25/04/2025;39.15;40.60;2;11;23/03/2025;;;;;;;;;;;;;;;
185;25/04/2025;34.40;35.90;18;36;23/03/2025;;;;;;;;;;;;;;;
190;25/04/2025;29.00;30.45;5;2,08;23/03/2025;;;;;;;;;;;;;;;
195;25/04/2025;24.50;26.30;39;70;23/03/2025;;;;;;;;;;;;;;;
200;25/04/2025;20.10;21.85;8;76;23/03/2025;;;;;;;;;;;;;;;
205;25/04/2025;16.00;17.60;84;63;23/03/2025;;;;;;;;;;;;;;;
210;25/04/2025;12.20;13.25;240;371;23/03/2025;;;;;;;;;;;;;;;
215;25/04/2025;9.20;9.55;335;632;23/03/2025;;;;;;;;;;;;;;;
220;25/04/2025;6.30;6.65;235;891;23/03/2025;;;;;;;;;;;;;;;
225;25/04/2025;4.00;4.30;288;10,001;23/03/2025;;;;;;;;;;;;;;;
230;25/04/2025;2.37;2.64;1,135;2,647;23/03/2025;;;;;;;;;;;;;;;
235;25/04/2025;1.30;1.55;850;2,034;23/03/2025;;;;;;;;;;;;;;;
240;25/04/2025;0.70;0.89;489;1,4;23/03/2025;;;;;;;;;;;;;;;
245;25/04/2025;0.39;0.50;376;1,291;23/03/2025;;;;;;;;;;;;;;;
250;25/04/2025;0.20;0.28;290;1,307;23/03/2025;;;;;;;;;;;;;;;
255;25/04/2025;0.11;0.22;9;677;23/03/2025;;;;;;;;;;;;;;;
260;25/04/2025;0.06;0.19;96;934;23/03/2025;;;;;;;;;;;;;;;
265;25/04/2025;0.02;0.16;94;52;23/03/2025;;;;;;;;;;;;;;;
270;25/04/2025;0.00;0.08;107;145;23/03/2025;;;;;;;;;;;;;;;
275;25/04/2025;0.01;0.05;300;363;23/03/2025;;;;;;;;;;;;;;;
280;25/04/2025;0.01;0.11;15;75;23/03/2025;;;;;;;;;;;;;;;
285;25/04/2025;0.01;0.11;-;16;23/03/2025;;;;;;;;;;;;;;;
290;25/04/2025;0.00;0.10;17;18;23/03/2025;;;;;;;;;;;;;;;
300;25/04/2025;0.01;0.09;1;4;23/03/2025;;;;;;;;;;;;;;;
305;25/04/2025;0.00;0.09;16;26;23/03/2025;;;;;;;;;;;;;;;
330;25/04/2025;-;0.04;-;22;23/03/2025;;;;;;;;;;;;;;;
100;16/05/2025;117.90;119.80;81;175;23/03/2025;;;;;;;;;;;;;;;
105;16/05/2025;134.65;135.30;3;1;23/03/2025;;;;;;;;;;;;;;;
110;16/05/2025;108.10;110.05;1;5;23/03/2025;;;;;;;;;;;;;;;
115;16/05/2025;103.00;104.90;23;37;23/03/2025;;;;;;;;;;;;;;;
120;16/05/2025;98.05;100.05;1;54;23/03/2025;;;;;;;;;;;;;;;
125;16/05/2025;93.20;95.00;15;8;23/03/2025;;;;;;;;;;;;;;;
130;16/05/2025;88.15;90.25;15;16;23/03/2025;;;;;;;;;;;;;;;
135;16/05/2025;83.30;85.30;5;72;23/03/2025;;;;;;;;;;;;;;;
140;16/05/2025;79.25;80.30;4;216;23/03/2025;;;;;;;;;;;;;;;
145;16/05/2025;74.30;75.45;1;158;23/03/2025;;;;;;;;;;;;;;;
150;16/05/2025;68.55;70.50;1;109;23/03/2025;;;;;;;;;;;;;;;
155;16/05/2025;64.35;65.60;5;13;23/03/2025;;;;;;;;;;;;;;;
160;16/05/2025;59.45;60.70;2;31;23/03/2025;;;;;;;;;;;;;;;
165;16/05/2025;54.65;55.40;2;272;23/03/2025;;;;;;;;;;;;;;;
170;16/05/2025;49.95;50.85;88;239;23/03/2025;;;;;;;;;;;;;;;
175;16/05/2025;45.15;45.85;15;48;23/03/2025;;;;;;;;;;;;;;;
180;16/05/2025;40.20;41.85;54;237;23/03/2025;;;;;;;;;;;;;;;
185;16/05/2025;35.65;36.30;1;181;23/03/2025;;;;;;;;;;;;;;;
190;16/05/2025;31.35;31.65;28;276;23/03/2025;;;;;;;;;;;;;;;
195;16/05/2025;25.70;28.25;36;3,505;23/03/2025;;;;;;;;;;;;;;;
200;16/05/2025;22.70;24.10;358;874;23/03/2025;;;;;;;;;;;;;;;
205;16/05/2025;18.80;20.20;111;810;23/03/2025;;;;;;;;;;;;;;;
210;16/05/2025;15.35;15.55;186;1,19;23/03/2025;;;;;;;;;;;;;;;
215;16/05/2025;12.10;12.30;1,021;2,933;23/03/2025;;;;;;;;;;;;;;;
220;16/05/2025;9.25;9.40;919;5,197;23/03/2025;;;;;;;;;;;;;;;
225;16/05/2025;6.85;7.00;556;5,188;23/03/2025;;;;;;;;;;;;;;;
230;16/05/2025;4.85;5.00;768;7,907;23/03/2025;;;;;;;;;;;;;;;
235;16/05/2025;3.35;3.50;597;7,496;23/03/2025;;;;;;;;;;;;;;;
240;16/05/2025;2.25;2.32;1,934;8,861;23/03/2025;;;;;;;;;;;;;;;
245;16/05/2025;1.48;1.56;406;8,095;23/03/2025;;;;;;;;;;;;;;;
250;16/05/2025;0.98;1.04;599;13,153;23/03/2025;;;;;;;;;;;;;;;
255;16/05/2025;0.65;0.69;368;21,373;23/03/2025;;;;;;;;;;;;;;;
260;16/05/2025;0.45;0.48;387;13,058;23/03/2025;;;;;;;;;;;;;;;
265;16/05/2025;0.32;0.35;71;10,692;23/03/2025;;;;;;;;;;;;;;;
270;16/05/2025;0.24;0.25;39;7,855;23/03/2025;;;;;;;;;;;;;;;
275;16/05/2025;0.17;0.21;10;10,637;23/03/2025;;;;;;;;;;;;;;;
280;16/05/2025;0.13;0.18;6;13,746;23/03/2025;;;;;;;;;;;;;;;
285;16/05/2025;0.10;0.15;1;1,899;23/03/2025;;;;;;;;;;;;;;;
290;16/05/2025;0.08;0.12;13;985;23/03/2025;;;;;;;;;;;;;;;
295;16/05/2025;0.05;0.10;5;671;23/03/2025;;;;;;;;;;;;;;;
300;16/05/2025;0.05;0.08;319;1,118;23/03/2025;;;;;;;;;;;;;;;
305;16/05/2025;0.04;0.05;1;182;23/03/2025;;;;;;;;;;;;;;;
310;16/05/2025;0.03;0.06;2;213;23/03/2025;;;;;;;;;;;;;;;
315;16/05/2025;0.03;0.05;181;148;23/03/2025;;;;;;;;;;;;;;;
320;16/05/2025;0.02;0.03;51;2,105;23/03/2025;;;;;;;;;;;;;;;
5;20/06/2025;211.50;213.85;4;752;23/03/2025;;;;;;;;;;;;;;;
10;20/06/2025;207.55;209.00;1;369;23/03/2025;;;;;;;;;;;;;;;
15;20/06/2025;202.25;205.50;1;0;23/03/2025;;;;;;;;;;;;;;;
20;20/06/2025;197.50;199.45;1;8;23/03/2025;;;;;;;;;;;;;;;
25;20/06/2025;192.40;194.55;1;3;23/03/2025;;;;;;;;;;;;;;;
30;20/06/2025;187.45;190.55;1;2;23/03/2025;;;;;;;;;;;;;;;
35;20/06/2025;199.35;200.20;1;1;23/03/2025;;;;;;;;;;;;;;;
40;20/06/2025;177.45;179.60;1;8;23/03/2025;;;;;;;;;;;;;;;
45;20/06/2025;172.50;174.70;1;3;23/03/2025;;;;;;;;;;;;;;;
50;20/06/2025;167.95;169.20;1;1,251;23/03/2025;;;;;;;;;;;;;;;
55;20/06/2025;162.95;164.50;1;365;23/03/2025;;;;;;;;;;;;;;;
60;20/06/2025;157.90;159.50;1;326;23/03/2025;;;;;;;;;;;;;;;
65;20/06/2025;152.95;154.70;1;267;23/03/2025;;;;;;;;;;;;;;;
70;20/06/2025;148.05;149.65;1;466;23/03/2025;;;;;;;;;;;;;;;
75;20/06/2025;143.15;144.75;1;295;23/03/2025;;;;;;;;;;;;;;;
80;20/06/2025;138.70;139.85;3;309;23/03/2025;;;;;;;;;;;;;;;
85;20/06/2025;133.30;134.65;6;725;23/03/2025;;;;;;;;;;;;;;;
90;20/06/2025;128.40;129.90;40;487;23/03/2025;;;;;;;;;;;;;;;
95;20/06/2025;123.75;124.75;1;3,699;23/03/2025;;;;;;;;;;;;;;;
100;20/06/2025;119.00;120.05;3;325;23/03/2025;;;;;;;;;;;;;;;
105;20/06/2025;114.05;115.20;2;194;23/03/2025;;;;;;;;;;;;;;;
110;20/06/2025;108.70;110.25;5;477;23/03/2025;;;;;;;;;;;;;;;
115;20/06/2025;104.25;105.35;5;390;23/03/2025;;;;;;;;;;;;;;;
120;20/06/2025;99.25;100.20;1;1,254;23/03/2025;;;;;;;;;;;;;;;
125;20/06/2025;93.95;95.50;11;428;23/03/2025;;;;;;;;;;;;;;;
130;20/06/2025;89.40;90.40;27;737;23/03/2025;;;;;;;;;;;;;;;
135;20/06/2025;84.55;85.55;10;783;23/03/2025;;;;;;;;;;;;;;;
140;20/06/2025;79.50;80.60;1;874;23/03/2025;;;;;;;;;;;;;;;
145;20/06/2025;74.80;75.65;1;877;23/03/2025;;;;;;;;;;;;;;;
150;20/06/2025;69.65;70.85;5;1,231;23/03/2025;;;;;;;;;;;;;;;
155;20/06/2025;64.95;66.00;25;1,014;23/03/2025;;;;;;;;;;;;;;;
160;20/06/2025;60.40;61.15;2;2,539;23/03/2025;;;;;;;;;;;;;;;
165;20/06/2025;55.90;56.40;1;1,631;23/03/2025;;;;;;;;;;;;;;;
170;20/06/2025;50.90;51.50;7;2,39;23/03/2025;;;;;;;;;;;;;;;
175;20/06/2025;46.50;46.85;6;2,414;23/03/2025;;;;;;;;;;;;;;;
180;20/06/2025;41.95;42.25;3;6,449;23/03/2025;;;;;;;;;;;;;;;
185;20/06/2025;37.50;37.80;19;3,078;23/03/2025;;;;;;;;;;;;;;;
190;20/06/2025;33.20;33.45;23;7,058;23/03/2025;;;;;;;;;;;;;;;
195;20/06/2025;28.85;29.25;25;7,819;23/03/2025;;;;;;;;;;;;;;;
200;20/06/2025;24.90;25.30;9;15,982;23/03/2025;;;;;;;;;;;;;;;
205;20/06/2025;21.20;21.60;48;7,078;23/03/2025;;;;;;;;;;;;;;;
210;20/06/2025;17.80;19.10;393;14,111;23/03/2025;;;;;;;;;;;;;;;
215;20/06/2025;14.70;14.90;837;12,466;23/03/2025;;;;;;;;;;;;;;;
220;20/06/2025;11.85;12.00;3,069;13,267;23/03/2025;;;;;;;;;;;;;;;
225;20/06/2025;9.35;9.50;301;7,012;23/03/2025;;;;;;;;;;;;;;;
230;20/06/2025;7.15;7.35;735;15,735;23/03/2025;;;;;;;;;;;;;;;
235;20/06/2025;5.35;5.50;396;20,716;23/03/2025;;;;;;;;;;;;;;;
240;20/06/2025;3.95;4.05;585;20,479;23/03/2025;;;;;;;;;;;;;;;
245;20/06/2025;2.85;2.96;558;19,988;23/03/2025;;;;;;;;;;;;;;;
250;20/06/2025;2.05;2.13;1,265;26,946;23/03/2025;;;;;;;;;;;;;;;
255;20/06/2025;1.46;1.51;177;7,168;23/03/2025;;;;;;;;;;;;;;;
260;20/06/2025;1.06;1.09;1,055;31,11;23/03/2025;;;;;;;;;;;;;;;
265;20/06/2025;0.77;0.80;142;10,737;23/03/2025;;;;;;;;;;;;;;;
270;20/06/2025;0.57;0.60;905;16,691;23/03/2025;;;;;;;;;;;;;;;
275;20/06/2025;0.44;0.46;233;6,798;23/03/2025;;;;;;;;;;;;;;;
280;20/06/2025;0.34;0.36;67;12,985;23/03/2025;;;;;;;;;;;;;;;
285;20/06/2025;0.27;0.28;50;3,493;23/03/2025;;;;;;;;;;;;;;;
290;20/06/2025;0.21;0.23;12;6,421;23/03/2025;;;;;;;;;;;;;;;
295;20/06/2025;0.17;0.19;1;1,598;23/03/2025;;;;;;;;;;;;;;;
300;20/06/2025;0.14;0.16;120;26,194;23/03/2025;;;;;;;;;;;;;;;
310;20/06/2025;0.10;0.11;72;5,736;23/03/2025;;;;;;;;;;;;;;;
320;20/06/2025;0.06;0.10;56;5,833;23/03/2025;;;;;;;;;;;;;;;
330;20/06/2025;0.05;0.09;1;2,709;23/03/2025;;;;;;;;;;;;;;;
340;20/06/2025;0.03;0.07;104;2,757;23/03/2025;;;;;;;;;;;;;;;
350;20/06/2025;0.03;0.07;1;8,873;23/03/2025;;;;;;;;;;;;;;;
360;20/06/2025;0.03;0.04;1;4,754;23/03/2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;